id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,proyeksi_jumlah_umkm,satuan,tahun
1,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,AKSESORIS,927,UNIT,2017
2,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,BATIK,927,UNIT,2017
3,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,BORDIR,132,UNIT,2017
4,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,CRAFT,33111,UNIT,2017
5,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,FASHION,32316,UNIT,2017
6,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,KONVEKSI,19734,UNIT,2017
7,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,KULINER,142508,UNIT,2017
8,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,104232,UNIT,2017
9,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,MINUMAN,19337,UNIT,2017
10,32.0,JAWA BARAT,3201,KABUPATEN BOGOR,JASA/LAINNYA,45030,UNIT,2017
11,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKSESORIS,665,UNIT,2017
12,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,BATIK,665,UNIT,2017
13,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,BORDIR,95,UNIT,2017
14,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,CRAFT,23748,UNIT,2017
15,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASHION,23178,UNIT,2017
16,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONVEKSI,14154,UNIT,2017
17,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,KULINER,102213,UNIT,2017
18,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN,74760,UNIT,2017
19,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINUMAN,13869,UNIT,2017
20,32.0,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA/LAINNYA,32298,UNIT,2017
21,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,AKSESORIS,620,UNIT,2017
22,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,BATIK,620,UNIT,2017
23,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,BORDIR,89,UNIT,2017
24,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,CRAFT,22142,UNIT,2017
25,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,FASHION,21611,UNIT,2017
26,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,KONVEKSI,13197,UNIT,2017
27,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,KULINER,95300,UNIT,2017
28,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,MAKANAN,69704,UNIT,2017
29,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,MINUMAN,12931,UNIT,2017
30,32.0,JAWA BARAT,3203,KABUPATEN CIANJUR,JASA/LAINNYA,30113,UNIT,2017
31,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,AKSESORIS,873,UNIT,2017
32,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,BATIK,873,UNIT,2017
33,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,BORDIR,125,UNIT,2017
34,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,CRAFT,31188,UNIT,2017
35,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,FASHION,30440,UNIT,2017
36,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,KONVEKSI,18588,UNIT,2017
37,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,KULINER,134235,UNIT,2017
38,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,MAKANAN,98181,UNIT,2017
39,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,MINUMAN,18214,UNIT,2017
40,32.0,JAWA BARAT,3204,KABUPATEN BANDUNG,JASA/LAINNYA,42416,UNIT,2017
41,32.0,JAWA BARAT,3205,KABUPATEN GARUT,AKSESORIS,641,UNIT,2017
42,32.0,JAWA BARAT,3205,KABUPATEN GARUT,BATIK,641,UNIT,2017
43,32.0,JAWA BARAT,3205,KABUPATEN GARUT,BORDIR,92,UNIT,2017
44,32.0,JAWA BARAT,3205,KABUPATEN GARUT,CRAFT,22878,UNIT,2017
45,32.0,JAWA BARAT,3205,KABUPATEN GARUT,FASHION,22329,UNIT,2017
46,32.0,JAWA BARAT,3205,KABUPATEN GARUT,KONVEKSI,13635,UNIT,2017
47,32.0,JAWA BARAT,3205,KABUPATEN GARUT,KULINER,98466,UNIT,2017
48,32.0,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN,72019,UNIT,2017
49,32.0,JAWA BARAT,3205,KABUPATEN GARUT,MINUMAN,13361,UNIT,2017
50,32.0,JAWA BARAT,3205,KABUPATEN GARUT,JASA/LAINNYA,31114,UNIT,2017
51,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKSESORIS,465,UNIT,2017
52,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BATIK,465,UNIT,2017
53,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BORDIR,66,UNIT,2017
54,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CRAFT,16603,UNIT,2017
55,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FASHION,16205,UNIT,2017
56,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONVEKSI,9896,UNIT,2017
57,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KULINER,71461,UNIT,2017
58,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN,52267,UNIT,2017
59,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINUMAN,9696,UNIT,2017
60,32.0,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA/LAINNYA,22580,UNIT,2017
61,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,AKSESORIS,345,UNIT,2017
62,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,BATIK,345,UNIT,2017
63,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,BORDIR,49,UNIT,2017
64,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,CRAFT,12335,UNIT,2017
65,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,FASHION,12039,UNIT,2017
66,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,KONVEKSI,7352,UNIT,2017
67,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,KULINER,53089,UNIT,2017
68,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN,38830,UNIT,2017
69,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,MINUMAN,7204,UNIT,2017
70,32.0,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA/LAINNYA,16775,UNIT,2017
71,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKSESORIS,235,UNIT,2017
72,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,BATIK,235,UNIT,2017
73,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,BORDIR,34,UNIT,2017
74,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,CRAFT,8377,UNIT,2017
75,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,FASHION,8176,UNIT,2017
76,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONVEKSI,4993,UNIT,2017
77,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,KULINER,36054,UNIT,2017
78,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,MAKANAN,26370,UNIT,2017
79,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINUMAN,4892,UNIT,2017
80,32.0,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA/LAINNYA,11392,UNIT,2017
81,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,AKSESORIS,624,UNIT,2017
82,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,BATIK,624,UNIT,2017
83,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,BORDIR,89,UNIT,2017
84,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,CRAFT,22301,UNIT,2017
85,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,FASHION,21766,UNIT,2017
86,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,KONVEKSI,13291,UNIT,2017
87,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,KULINER,95982,UNIT,2017
88,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,70203,UNIT,2017
89,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,MINUMAN,13024,UNIT,2017
90,32.0,JAWA BARAT,3209,KABUPATEN CIREBON,JASA/LAINNYA,30329,UNIT,2017
91,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKSESORIS,388,UNIT,2017
92,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BATIK,388,UNIT,2017
93,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BORDIR,55,UNIT,2017
94,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CRAFT,13846,UNIT,2017
95,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FASHION,13514,UNIT,2017
96,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KONVEKSI,8252,UNIT,2017
97,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KULINER,59595,UNIT,2017
98,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MAKANAN,43589,UNIT,2017
99,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINUMAN,8086,UNIT,2017
100,32.0,JAWA BARAT,3210,KABUPATEN MAJALENGKA,JASA/LAINNYA,18831,UNIT,2017
101,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKSESORIS,287,UNIT,2017
102,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,BATIK,287,UNIT,2017
103,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,BORDIR,41,UNIT,2017
104,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,CRAFT,10259,UNIT,2017
105,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,FASHION,10013,UNIT,2017
106,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONVEKSI,6114,UNIT,2017
107,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,KULINER,44154,UNIT,2017
108,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,MAKANAN,32295,UNIT,2017
109,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINUMAN,5991,UNIT,2017
110,32.0,JAWA BARAT,3211,KABUPATEN SUMEDANG,JASA/LAINNYA,13952,UNIT,2017
111,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKSESORIS,472,UNIT,2017
112,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BATIK,472,UNIT,2017
113,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BORDIR,67,UNIT,2017
114,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CRAFT,16866,UNIT,2017
115,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASHION,16461,UNIT,2017
116,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONVEKSI,10052,UNIT,2017
117,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KULINER,72592,UNIT,2017
118,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MAKANAN,53095,UNIT,2017
119,32.0,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINUMAN,9850,UNIT,2017
